Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
peach-please-palette,"Peach, Please Palette","<img src=""//cdn.shopify.com/s/files/1/1099/1078/files/As_seen_on_the_Color_Guide_3_large.png?v=1500507794"" alt="""">
<p style=""text-align: left;""><span style=""font-weight: 400;"">8 of our sweetest, peachiest eyeshadows to help you create those trending eye looks and you saw on Insta.  This RTW Overshadow Palette</span><span style=""font-weight: 400;""> is inspired by the orange-pink shades in Too Faced's Sweet Peach Eyeshadow Collection.</span></p>
<meta charset=""utf-8"">
<p style=""text-align: left;""><span style=""font-weight: 400;"">Read the Color Guide Story to find out more about the inspiration behind this palette!</span></p>
<p style=""text-align: left;""><img src=""//cdn.shopify.com/s/files/1/1099/1078/files/PeachDupeBody2_large.jpg?v=1501511947"" alt=""""> </p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.51oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Palette Dimensions: 14.5cm x 11cm x 1.3cm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Magnetic base allows you to easily refill a shade</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Full mirror that holds its weight so you can get ready anywhere</span></li>
</ul>
<ul></ul>
<p><b>EYESHADOW COLORS</b></p>
<ul>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-extra-foam-b20"" target=""_blank"" rel=""noopener noreferrer"">Extra Foam</a>: Cool tone, cream-colored eyeshadow with a matte finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-crush-a12"" target=""_blank"" rel=""noopener noreferrer"">Crush</a>: Neutral tone, peach eyeshadow with a shimmery finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-sherbert-a21"" target=""_blank"" rel=""noopener noreferrer"">Sherbert</a>: Warm tone, peach eyeshadow with a shimmery gold finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-succulent-b76"" target=""_blank"" rel=""noopener noreferrer"">Succulent</a>: Cool tone, green eyeshadow with a metallic finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-coral-cove-c6"" target=""_blank"" rel=""noopener noreferrer"">Coral Cove</a>: Warm tone, peach eyeshadow with a metallic finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-haute-chocolate-b62"" target=""_blank"" rel=""noopener noreferrer"">Haute Chocolate</a>: Warm tone, brown eyeshadow with a matte finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-pandora-b90"" target=""_blank"" rel=""noopener noreferrer"">Pandora</a>: Warm tone, purple eyeshadow with a shimmery gold finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-nebula-b122"" target=""_blank"" rel=""noopener noreferrer"">Nebula</a>: Cool tone, dark purple eyeshadow with a shimmery finish</li>
</ul>
<p><b>EXTRA GOODIES</b></p>
<p><span style=""font-weight: 400;"">Receive a </span><a href=""https://www.findingferdinand.com/products/ffgirl-sticker-set""><span style=""font-weight: 400;"">complimentary FFgirl Sticker Set</span></a><span style=""font-weight: 400;""> and </span><a href=""https://www.findingferdinand.com/collections/brushes/products/dual-eye-brush""><span style=""font-weight: 400;"">Dual-End Eye Brush</span></a><span style=""font-weight: 400;""> with each palette.</span></p>
<p><b>PIGMENTATION: </b><span style=""font-weight: 400;"">High-pigmented powders that blend easily</span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,palette,"all in one, Overnight, palette, travel",true,Title,Default Title,,,,,"",227,shopify,10,continue,manual,56.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Overshadow-Eyeshadow-PeachPlease.jpg?v=1501513765,1,,false,,,,,,,,,,,,,,,,,lb,
peach-please-palette,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Overshadow-Eyeshadow-Palette-PeachPlease-Set.jpg?v=1501513765,2,,,,,,,,,,,,,,,,,,,,
peach-please-palette,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Stickers_1f9fe8d8-260c-4abc-8309-dde3a490c122.jpg?v=1501513765,3,,,,,,,,,,,,,,,,,,,,
josie-brito,Josie Brito,"<h3>Meet Josie Brito</h3>
<p>Josie is an instructor at <a href=""http://vixenworkout.com/new-york/index.php"" target=""_blank"" rel=""noopener noreferrer"">Vixen Workout</a> and a life coach with a passion for self-love. She also writes an uplifting newsletter, <a href=""https://cupofjo.com/"" target=""_blank"" rel=""noopener noreferrer"">Cup of Jo</a>. Check out the colors she picked that go perfectly from day to night.</p>
<p>You can read Josie's <a href=""https://www.findingferdinand.com/blogs/color-guide/josie-brito-on-self-love-dance-makeup-for-workouts"" target=""_blank"" rel=""noopener noreferrer"">full Color Guide story here</a>.</p>
<center><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TyrWiZocdoM"" frameborder=""0"" allowfullscreen=""""></iframe></center>
<p> </p>
<p><strong>Description</strong></p>
<meta charset=""utf-8"">
<p><span>Have everything you need for a night out - and flawless touch-ups the next morning -- all conveniently packed in a portable palette.</span></p>
<p><strong>Palette Details</strong></p>
<meta charset=""utf-8"">
<p>Size 14.5 cm x 11 cm x 1.3 cm</p>
<p>Full Mirror that holds its weight so you can get ready anywhere.</p>
<meta charset=""utf-8"">
<p><strong>TOP ROW - CHEEKS</strong></p>
<p>No Regrets</p>
<p>Pink Glow</p>
<p>Terracotta</p>
<meta charset=""utf-8"">
<p><strong>BOTTOM ROW - EYES</strong></p>
<p>Go Blue</p>
<p>Honey Moon</p>
<p>Pewter</p>
<p>Mahogany</p>
<p>Apricot</p>
<meta charset=""utf-8"">
<p><strong>EXTRA GOODIES</strong></p>
<p>FFGirl Sticker Set</p>
<p>2 Dual-End Brush Set</p>",Finding Ferdinand,"",FFGirl,true,Title,Default Title,,,,,"",0,shopify,10,continue,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Josie-Product-Image1.jpg?v=1501515258,1,,false,,,,,,,,,,,,,,,,,lb,
josie-brito,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Overnight-Palette_Josie-Brito.jpg?v=1501515258,2,,,,,,,,,,,,,,,,,,,,
josie-brito,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Overnight_Collection_4a014f01-b7e3-431f-ab8a-4ee409d1dc39.jpg?v=1501515258,3,,,,,,,,,,,,,,,,,,,,
very-berry-lip-stick,Very Berry Lip Stick,"<meta charset=""utf-8"">
<p><strong></strong><span>The only berries you need to get you through the holiday craze. Swipe on this pop of color and you can conquer anything. </span></p>
<p>Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8"">Finding Ferdinand Lipstick &amp; Beauty App</a>:  </p>
<p><em>Red Fantasy + Cranberry + Berry Jam + Sinful + Bing Cherry</em></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s1""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, Lipstick",true,Finish,Creamy Lip Stick,,,,,LS30,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Very-Berry.jpg?v=1500327777,1,,false,,,,,,,,,,,,,,,,,oz,
very-berry-lip-stick,,,,,,,,Matte Lip Stick,,,,,LS30,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Very_Berry_Finding_Ferdinand_Lip_Stick.png?v=1500333928,2,,,,,,,,,,,,,,,,,,,oz,
very-berry-lip-stick,,,,,,,,Sheer Lip Tint,,,,,LS30,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Very-Berry.jpg?v=1500390965,3,,,,,,,,,,,,,,,,,,,oz,
marsala-lip-stick,Marsala Lip Stick,"<p class=""p1""><b></b><span>Spice things up with Marsala, a neutral yet zesty pop of pink. From the cubicle to picnics at the park, you'll be grabbing Marsala everywhere you go. </span></p>
<p class=""p1"">Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p class=""p1""><i>Truffle + Orange Sorbet + Orange Flare + Magenta Pop + Au Naturel</i></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s2""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s2""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s2""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s2""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, lips, Lipstick",false,Finish,Creamy Lip Stick,,,,,LS29,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Marsala.jpg?v=1500327060,1,,false,,,,,,,,,,,,,,,,,oz,
